#GJM1555C1HR50BB01,,
#In Production,,
#2023/05/29,,
#c,,
#DC0V 25degC,,
Frequency[Hz],Capacitance[F],
6.11975E9,6.648760033028211E-13,
6.1695E9,6.685570188945411E-13,
6.21925E9,6.723121592768229E-13,
6.269E9,6.761433146615453E-13,
6.31875E9,6.800524437918237E-13,
6.3685E9,6.840415770242218E-13,
6.41825E9,6.881128195796866E-13,
6.468E9,6.922683549740557E-13,
6.51775E9,6.965104486398184E-13,
6.5675E9,7.008414517516498E-13,
6.61725E9,7.052638052692145E-13,
6.667E9,7.097800442117591E-13,
6.71675E9,7.143928021801245E-13,
6.7665E9,7.191048161430402E-13,
6.81625E9,7.239189315058687E-13,
6.866E9,7.288381074814423E-13,
6.91575E9,7.338654227841705E-13,
6.9655E9,7.390040816703484E-13,
7.01525E9,7.442574203494538E-13,
7.065E9,7.496289137932688E-13,
7.11475E9,7.55122182971922E-13,
7.1645E9,7.60741002548382E-13,
7.21425E9,7.66489309065642E-13,
7.264E9,7.723712096637803E-13,
7.31375E9,7.783909913673231E-13,
7.3635E9,7.84553130986908E-13,
7.41325E9,7.908623056831622E-13,
7.463E9,7.973234042450291E-13,
7.51275E9,8.039415391395502E-13,
7.5625E9,8.107220593953432E-13,
7.61225E9,8.176705643878617E-13,
7.662E9,8.247929186009171E-13,
7.71175E9,8.32095267446062E-13,
7.7615E9,8.395840542293576E-13,
7.81125E9,8.472660383637653E-13,
7.861E9,8.551483149351682E-13,
7.91075E9,8.632383357408442E-13,
7.9605E9,8.715439319313066E-13,
8.01025E9,8.800733383998864E-13,
8.06E9,8.888352200794768E-13,
8.10975E9,8.978387003227152E-13,
8.1595E9,9.070933915607465E-13,
8.20925E9,9.166094284568594E-13,
8.259E9,9.26397503795116E-13,
8.30875E9,9.364689073708299E-13,
8.3585E9,9.468355681799697E-13,
8.40825E9,9.575101002386128E-13,
8.458E9,9.685058524021268E-13,
8.50775E9,9.79836962597424E-13,
8.5575E9,9.915184169311584E-13,
8.60725E9,1.0035661141931045E-12,
8.657E9,1.0159969363380796E-12,
8.70675E9,1.0288288256030321E-12,
8.7565E9,1.042080868999617E-12,
8.80625E9,1.0557733910185472E-12,
8.856E9,1.0699280554921294E-12,
8.90575E9,1.0845679776881525E-12,
8.9555E9,1.0997178478544747E-12,
9.00525E9,1.115404067602592E-12,
9.055E9,1.131654900714233E-12,
9.10475E9,1.1485006401823767E-12,
9.1545E9,1.1659737935628561E-12,
9.20425E9,1.1841092890217747E-12,
9.254E9,1.2029447048258141E-12,
9.30375E9,1.2225205254472885E-12,
9.3535E9,1.242880427955931E-12,
9.40325E9,1.264071602960017E-12,
9.453E9,1.28614511505918E-12,
9.50275E9,1.3091563086028174E-12,
9.5525E9,1.3331652655398334E-12,
9.60225E9,1.3582373233323352E-12,
9.652E9,1.3844436623316409E-12,
9.70175E9,1.4118619737340265E-12,
9.7515E9,1.4405772213147994E-12,
9.80125E9,1.4706825126691223E-12,
9.851E9,1.5022800987769E-12,
9.90075E9,1.5354825244974527E-12,
9.9505E9,1.5704139572682961E-12,
1.000025E10,1.6072117270645133E-12,
1.005E10,1.6460281178737545E-12,
1.009975E10,1.6870324599535781E-12,
1.01495E10,1.7304135834841423E-12,
1.019925E10,1.776382708602783E-12,
1.0249E10,1.8251768651318128E-12,
1.029875E10,1.877062958832643E-12,
1.03485E10,1.9323426314284124E-12,
1.039825E10,1.9913581012500103E-12,
1.0448E10,2.0544992233796074E-12,
1.049775E10,2.122212077064256E-12,
1.05475E10,2.1950094802633975E-12,
1.059725E10,2.2734839554896354E-12,
1.0647E10,2.35832384062093E-12,
1.069675E10,2.45033347215713E-12,
1.07465E10,2.550458694733919E-12,
1.079625E10,2.659819412170312E-12,
1.0846E10,2.7797515570726554E-12,
1.089575E10,2.911861819530166E-12,
1.09455E10,3.0580999017716646E-12,
1.099525E10,3.2208552157576793E-12,
1.1045E10,3.4030882470098927E-12,
1.109475E10,3.6085120052796183E-12,
1.11445E10,3.84184735413202E-12,
1.119425E10,4.109189867962623E-12,
1.1244E10,4.418549512917011E-12,
1.129375E10,4.780666230565447E-12,
1.13435E10,5.21028131070413E-12,
1.139325E10,5.728192245976151E-12,
1.1443E10,6.3647188345841586E-12,
1.149275E10,7.1658574592817525E-12,
1.15425E10,8.204916938535538E-12,
1.159225E10,9.606325071900146E-12,
1.1642E10,1.1599593409245837E-11,
1.169175E10,1.4659941575275128E-11,
1.17415E10,1.9957271184454067E-11,
1.179125E10,3.135659883161795E-11,
1.1841E10,7.371907869529469E-11,
